City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
1,Atuona,PF,78.37,broken clouds,-9.8,-139.0333,Villa Enata
2,Gao,ML,72.88,overcast clouds,16.6362,1.6369999999999998,
7,Japura,ID,72.37,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
8,Cape Town,ZA,71.6,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Palmas,BR,78.8,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
14,Nkoteng,CM,74.95,scattered clouds,4.5167,12.0333,Sanaga Beach Lodges
17,East London,ZA,70.79,overcast clouds,-33.0153,27.9116,Tu Casa
23,Mount Isa,AU,75.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
24,Gourcy,BF,75.43,scattered clouds,13.2167,-2.35,Auberge Gourcy
30,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Sigli,ID,78.51,light rain,5.3848,95.9609,Losmen Dua Mali
37,Gaoua,BF,77.29,overcast clouds,10.2992,-3.2508,
38,Rikitea,PF,78.76,light rain,-23.1203,-134.9692,Pension Maro'i
43,Chuy,UY,73.33,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Bonthe,SL,77.92,clear sky,7.5264,-12.505,Bonthe Holiday Village
67,Amapa,BR,76.89,moderate rain,1.0,-52.0,
72,Cabo San Lucas,MX,78.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
73,Asuncion,PY,77.0,overcast clouds,-25.3007,-57.6359,Crowne Plaza Asuncion
78,Rocha,UY,71.28,few clouds,-34.4833,-54.3333,Beleza Pura B&B
84,San Patricio,US,71.01,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Ayorou,NE,77.59,broken clouds,14.7308,0.9174,Hotel Amenokal
97,Kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
101,Bengkulu,ID,75.45,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
113,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
116,Pacific Grove,US,75.2,clear sky,36.6177,-121.9166,Lovers Point Inn
126,Dondo,MZ,73.4,moderate rain,-19.6094,34.7431,Arco Iris
138,Iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
148,Todos Santos,MX,71.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
151,Alyangula,AU,77.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
153,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
155,Matara,LK,74.93,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
157,Chake Chake,TZ,78.01,overcast clouds,-5.2459,39.7666,Hotel Archipelago
164,Makaha,US,73.4,moderate rain,21.4694,-158.2175,Hawaiian Princess Resort
170,Caravelas,BR,78.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
171,Santa Rosa,PH,77.0,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
173,Xuddur,SO,76.51,broken clouds,4.1213,43.8894,Banjanay Hotel
175,Manokwari,ID,79.7,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
177,Pondicherry,IN,72.3,clear sky,11.93,79.83,Villa Shanti
183,Imbituba,BR,78.8,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
184,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
186,Bacolod,PH,76.32,overcast clouds,10.6667,122.95,Planta Hotel & Residences
195,Grand-Santi,GF,74.37,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
200,Papar,MY,71.6,light rain,5.7333,115.9333,Koposizon Homestay
203,Djibo,BF,76.14,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
212,Alugan,PH,78.78,light rain,12.2188,125.4808,JM Lodge
213,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
214,Yambio,SS,73.96,clear sky,4.5721,28.3955,Naivasha Hotel
226,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
230,Moundou,TD,75.49,broken clouds,8.5667,16.0833,Planete Life
234,Panalingaan,PH,76.68,moderate rain,8.7842,117.4231,
240,Marabba,SD,76.24,scattered clouds,12.35,32.1833,
242,Lima,PE,73.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
244,Garowe,SO,70.16,few clouds,8.4054,48.4845,Curubo Hotel
245,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Labuhan,ID,77.0,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
249,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
253,Malumfashi,NG,70.61,few clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
255,Bubaque,GW,78.6,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
265,Quirinopolis,BR,76.98,moderate rain,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
266,Owando,CG,72.3,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
