City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hilo,US,19.7297,-155.09,77.0,65,90,8.05,light rain
1,Atuona,PF,-9.8,-139.0333,78.37,77,52,14.7,broken clouds
2,Gao,ML,16.6362,1.637,72.88,17,95,11.36,overcast clouds
3,Gallup,US,35.5281,-108.7426,55.4,16,1,13.8,clear sky
4,Victoria,HK,22.2855,114.1577,55.0,51,96,10.47,overcast clouds
5,Andenes,NO,69.3143,16.1194,30.2,93,75,8.05,light snow
6,Iqaluit,CA,63.7506,-68.5145,-13.0,70,20,6.91,few clouds
7,Japura,ID,-0.3167,102.35,72.37,97,100,2.66,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,71.6,60,0,17.27,clear sky
9,Palmas,BR,-10.2128,-48.3603,78.8,83,40,4.61,moderate rain
10,Uglich,RU,57.5275,38.3317,-9.4,88,15,4.0,few clouds
11,Palmer,US,42.1584,-72.3287,39.99,56,90,8.05,overcast clouds
12,Ancud,CL,-41.8697,-73.8203,66.2,63,0,10.36,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,62.6,59,40,29.93,scattered clouds
14,Nkoteng,CM,4.5167,12.0333,74.95,65,29,6.51,scattered clouds
15,Zambezi,ZM,-13.5432,23.1047,68.59,84,100,4.94,overcast clouds
16,Busselton,AU,-33.65,115.3333,64.0,71,31,7.0,scattered clouds
17,East London,ZA,-33.0153,27.9116,70.79,71,89,5.23,overcast clouds
18,Hobart,AU,-42.8794,147.3294,63.0,55,75,18.41,broken clouds
19,Yar-Sale,RU,66.8333,70.8333,-13.52,89,100,15.68,overcast clouds
20,Beringovskiy,RU,63.05,179.3167,-13.14,88,28,8.39,scattered clouds
21,Saskylakh,RU,71.9167,114.0833,-28.25,84,72,5.91,broken clouds
22,Bulawayo,ZW,-20.15,28.5833,66.7,93,100,5.21,overcast clouds
23,Mount Isa,AU,-20.7333,139.5,75.2,23,33,12.66,scattered clouds
24,Gourcy,BF,13.2167,-2.35,75.43,18,38,9.78,scattered clouds
25,Honningsvag,NO,70.9821,25.9704,37.4,87,75,14.97,broken clouds
26,Bilma,NE,18.6853,12.9164,64.98,25,100,15.88,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,55.4,71,75,7.16,light rain
28,New Norfolk,AU,-42.7826,147.0587,61.0,72,98,1.99,overcast clouds
29,Caborca,MX,30.5838,-111.101,81.0,13,0,7.0,clear sky
30,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,5.75,clear sky
31,Sigli,ID,5.3848,95.9609,78.51,81,98,11.54,light rain
32,Hithadhoo,MV,-0.6,73.0833,81.14,70,93,7.0,overcast clouds
33,Zaragoza,ES,41.6561,-0.8773,51.01,81,0,13.8,clear sky
34,Port Hardy,CA,50.6996,-127.4199,48.2,81,75,9.22,light rain
35,Tahe,CN,52.3333,124.7333,-19.64,84,100,6.53,overcast clouds
36,Seminole,US,28.7086,-81.2081,61.0,55,1,5.75,clear sky
37,Gaoua,BF,10.2992,-3.2508,77.29,16,100,4.23,overcast clouds
38,Rikitea,PF,-23.1203,-134.9692,78.76,75,16,14.97,light rain
39,Port Alfred,ZA,-33.5906,26.891,68.0,89,52,5.01,broken clouds
40,Barrow,US,71.2906,-156.7887,-2.2,78,90,16.11,overcast clouds
41,Kapaa,US,22.0752,-159.319,81.0,73,1,14.97,clear sky
42,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,73,0,19.57,clear sky
43,Chuy,UY,-33.6971,-53.4616,73.33,58,80,8.14,broken clouds
44,Mataura,NZ,-46.1927,168.8643,55.26,51,26,9.19,scattered clouds
45,Swellendam,ZA,-34.0226,20.4417,68.0,77,26,9.22,scattered clouds
46,Mar Del Plata,AR,-38.0023,-57.5575,64.4,68,75,14.97,broken clouds
47,Fredonia,US,42.4401,-79.3317,33.8,100,90,9.22,light snow
48,Carnarvon,AU,-24.8667,113.6333,82.4,69,98,5.75,overcast clouds
49,Songjianghe,CN,42.1859,127.479,1.15,90,100,5.21,light snow
50,Hokitika,NZ,-42.7167,170.9667,57.22,74,46,13.89,scattered clouds
51,Mahebourg,MU,-20.4081,57.7,78.8,78,40,10.36,scattered clouds
52,Pevek,RU,69.7008,170.3133,-28.57,86,5,3.09,clear sky
53,Gillette,US,44.2911,-105.5022,42.8,36,90,9.22,overcast clouds
54,Turukhansk,RU,65.8167,87.9833,-13.29,87,100,18.95,overcast clouds
55,Bonthe,SL,7.5264,-12.505,77.92,83,0,7.52,clear sky
56,Igarka,RU,67.4667,86.5833,-10.12,88,100,22.84,light snow
57,Natal,BR,-5.795,-35.2094,80.6,69,20,16.11,few clouds
58,Longyearbyen,SJ,78.2186,15.6401,19.4,73,40,33.38,scattered clouds
59,Harwich,GB,51.9419,1.2844,41.0,80,100,7.0,overcast clouds
60,Albany,US,42.6001,-73.9662,37.99,69,100,7.94,overcast clouds
61,Lyubar,UA,49.9204,27.7592,8.22,94,100,9.1,light snow
62,Provideniya,RU,64.3833,-173.3,-0.4,65,75,8.95,broken clouds
63,Dombas,NO,62.0696,9.1235,11.53,87,8,1.92,clear sky
64,Lompoc,US,34.6391,-120.4579,82.4,20,0,4.61,clear sky
65,Fortuna,US,40.5982,-124.1573,60.01,76,1,12.66,clear sky
66,Ahipara,NZ,-35.1667,173.1667,66.99,62,37,13.13,scattered clouds
67,Amapa,BR,1.0,-52.0,76.89,94,100,3.42,moderate rain
68,Fukue,JP,32.6881,128.8419,41.61,75,100,10.87,overcast clouds
69,Leningradskiy,RU,69.3833,178.4167,-25.06,84,33,6.11,scattered clouds
70,Vaini,TO,-21.2,-175.2,84.2,79,75,10.36,broken clouds
71,Hermanus,ZA,-34.4187,19.2345,66.0,83,5,1.99,clear sky
72,Cabo San Lucas,MX,22.8909,-109.9124,78.8,34,1,6.91,clear sky
73,Asuncion,PY,-25.3007,-57.6359,77.0,78,90,19.57,overcast clouds
74,Ayan,RU,56.45,138.1667,-26.09,72,0,12.93,clear sky
75,Bredasdorp,ZA,-34.5322,20.0403,68.0,77,75,9.22,broken clouds
76,Onega,RU,63.9061,38.1404,16.95,97,99,7.27,snow
